local_rrt_cost,local_rrt_star_cost,local_astar_cost,local_rrt_time,local_rrt_star_time,local_astar_time,global_rrt_cost,global_rrt_star_cost,global_astar_cost,global_rrt_time,global_rrt_star_time,global_astar_time
626.5709404691193,380.411524631307,298.2842712474619,0.2815561294555664,11.50519871711731,1.5880603790283203,23.99114857512855,23.99114857512855,-1.0,0.12838053703308105,0.8971474170684814,-1.0
173.15792372498294,127.36609636179742,90.35533905932738,0.45411133766174316,2.762890338897705,0.9821860790252686,23.991148575128552,23.991148575128552,-1.0,0.0027284622192382812,1.8973956108093262,-1.0
1066.675906827039,575.9382797720691,466.48232278140836,0.39417576789855957,16.81870722770691,2.5379297733306885,23.991148575128555,23.991148575128552,-1.0,0.30821728706359863,1.2018237113952637,-1.0
678.2869039196747,473.8571501520401,-1.0,0.5757651329040527,38.5188045501709,-1.0,23.991148575128555,23.991148575128552,-1.0,0.14522314071655273,1.380469560623169,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,76.04731504919874,76.04731504919874,78.6396103067893,0.0739433765411377,1.2478384971618652,25.01973581314087
0.0,0.0,0.0,0.0,0.0,0.0,75.55480853170123,75.55480853170123,75.71067811865477,0.1228787899017334,1.2107558250427246,22.59435224533081
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.991148575128552,23.991148575128555,-1.0,1.1296133995056152,0.5899622440338135,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.991148575128552,23.991148575128552,-1.0,0.38892626762390137,0.34422731399536133,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,79.17086242011095,79.17086242011095,75.0,0.4082913398742676,1.9308853149414062,25.277814388275146
0.0,0.0,0.0,0.0,0.0,0.0,227.54911541376737,75.61278665714404,78.6396103067893,0.40206289291381836,0.6172215938568115,22.31214666366577
1389.723474576953,534.405903666362,563.9087296526012,0.7245440483093262,7.239515066146851,2.5901827812194824,23.991148575128552,23.99114857512855,-1.0,0.10169792175292969,0.09869623184204102,-1.0
803.7528339494518,401.6538497339171,336.98484809835,0.5294992923736572,15.463921070098877,1.8106091022491455,23.991148575128555,23.991148575128555,-1.0,0.3404262065887451,0.15984249114990234,-1.0
956.2985154660453,619.3151724431572,631.5432893255072,0.6066076755523682,29.325791120529175,3.4869461059570312,23.99114857512855,23.991148575128545,-1.0,0.2587299346923828,0.6443281173706055,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,100.91620387054206,79.27507704904593,75.0,0.36313605308532715,0.7381722927093506,22.43219494819641
201.8833688919762,75.01669586958884,83.2842712474619,0.08252239227294922,2.027432441711426,0.359600305557251,21.994284174799358,21.994284174799354,22.071067811865476,0.2765617370605469,2.335174560546875,21.3654682636261
929.7147543384543,499.02654763188673,494.5584412271571,0.5792324542999268,6.118341445922852,2.448143482208252,24.388582036104403,24.388582036104403,-1.0,0.1143791675567627,0.3659682273864746,-1.0
993.183317567346,674.7545534446722,578.0508652763322,0.3466649055480957,40.49103045463562,3.2351772785186768,23.991148575128552,23.991148575128555,-1.0,0.1163785457611084,2.0776925086975098,-1.0
1010.0782232796136,612.849930845518,511.2741699796952,0.6703150272369385,13.451388597488403,2.708383560180664,23.991148575128555,23.991148575128555,-1.0,0.11539149284362793,1.1176605224609375,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,75.51314680159759,75.51314680159759,75.71067811865477,0.18313050270080566,0.5127561092376709,22.674928188323975
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.991148575128552,23.991148575128552,-1.0,0.29091310501098633,0.09670519828796387,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,75.85348692723575,75.85348692723575,78.6396103067893,0.19301772117614746,1.1407110691070557,21.22057056427002
600.8359915515031,413.9977089808109,406.83766184073573,0.4717988967895508,9.533196687698364,2.9399096965789795,23.99114857512855,23.99114857512855,-1.0,0.5301191806793213,0.03983640670776367,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,256.1582266483118,76.18574551876236,81.56854249492382,0.4487018585205078,0.32291388511657715,21.003122091293335
692.1411469836276,318.1515206365471,312.63455967290594,0.46533727645874023,1.5372049808502197,1.480616569519043,23.99114857512855,23.99114857512855,-1.0,0.2945280075073242,1.5965988636016846,-1.0
1317.858230236325,779.9995487146186,653.111831820431,0.570908784866333,41.89620757102966,3.575232744216919,23.99114857512855,23.99114857512855,-1.0,0.4221816062927246,2.310889482498169,-1.0
1184.7679871951395,500.1635473687684,496.69047558312144,0.6456427574157715,14.826892375946045,2.6410255432128906,23.99114857512855,23.99114857512855,-1.0,0.4702794551849365,0.039545297622680664,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,26.537448415789953,26.537448415789953,22.071067811865476,0.47751736640930176,0.417588472366333,22.597333669662476
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.991148575128552,23.991148575128552,-1.0,0.09741640090942383,0.6858968734741211,-1.0
382.73200377872314,296.2928946996486,241.27416997969527,0.3800985813140869,4.944297790527344,2.0721025466918945,23.991148575128552,23.99114857512855,-1.0,0.39736151695251465,1.0512044429779053,-1.0
1153.2959935517845,493.28316656724235,-1.0,0.5407986640930176,8.407754182815552,-1.0,23.991148575128552,23.991148575128552,-1.0,0.013613700866699219,0.42895984649658203,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,134.39915040351883,75.00001468062955,75.0,0.7853293418884277,0.37995147705078125,25.121487140655518
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.991148575128552,23.991148575128552,-1.0,0.1374683380126953,1.5470609664916992,-1.0
